2024-07-23 19:31:53 {'x_pos': 1, 'y_pos': 1996, 't_pos': -9396, 'x_vel': 2, 'y_vel': 237, 't_vel': -107}
2024-07-23 19:31:53 {'yaw': 3583, 'pitch': 13, 'roll': 30, 'x_acceleration': 2, 'y_acceleration': 8, 'z_acceleration': -5}
2024-07-23 19:31:53 {'x_pos': 1, 'y_pos': 1996, 't_pos': -9396, 'x_vel': 2, 'y_vel': 237, 't_vel': -107}
2024-07-23 19:31:53 {'yaw': 3583, 'pitch': 13, 'roll': 31, 'x_acceleration': -1, 'y_acceleration': -1, 'z_acceleration': -12}
2024-07-23 19:31:53 {'x_pos': 1, 'y_pos': 1996, 't_pos': -9396, 'x_vel': 2, 'y_vel': 237, 't_vel': -107}
2024-07-23 19:31:53 {'yaw': 3588, 'pitch': 15, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 7, 'z_acceleration': -3}
2024-07-23 19:31:53 {'x_pos': 1, 'y_pos': 1996, 't_pos': -9396, 'x_vel': 2, 'y_vel': 237, 't_vel': -107}
2024-07-23 19:31:53 {'yaw': 3588, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -10}
2024-07-23 19:31:54 {'x_pos': 1, 'y_pos': 1996, 't_pos': -9396, 'x_vel': 2, 'y_vel': 237, 't_vel': -107}
2024-07-23 19:31:54 {'yaw': 3589, 'pitch': 13, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': -3, 'z_acceleration': -8}
2024-07-23 19:31:54 {'x_pos': 1, 'y_pos': 1996, 't_pos': -9396, 'x_vel': 2, 'y_vel': 237, 't_vel': -107}
2024-07-23 19:31:54 {'yaw': 3591, 'pitch': 13, 'roll': 30, 'x_acceleration': 1, 'y_acceleration': -2, 'z_acceleration': -5}
2024-07-23 19:31:54 {'x_pos': 1, 'y_pos': 1996, 't_pos': -9396, 'x_vel': 2, 'y_vel': 237, 't_vel': -107}
2024-07-23 19:31:54 {'yaw': 3588, 'pitch': 11, 'roll': 31, 'x_acceleration': 3, 'y_acceleration': -2, 'z_acceleration': -9}
2024-07-23 19:31:55 {'x_pos': 1, 'y_pos': 1996, 't_pos': -9396, 'x_vel': 2, 'y_vel': 237, 't_vel': -107}
2024-07-23 19:31:55 {'yaw': 3590, 'pitch': 12, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': -4, 'z_acceleration': -15}
2024-07-23 19:31:55 {'x_pos': 0, 'y_pos': 2496, 't_pos': 5733, 'x_vel': 8, 'y_vel': 242, 't_vel': 15017}
2024-07-23 19:31:55 {'yaw': 3592, 'pitch': 14, 'roll': 30, 'x_acceleration': -3, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-23 19:31:55 {'x_pos': 0, 'y_pos': 2496, 't_pos': 5733, 'x_vel': 8, 'y_vel': 242, 't_vel': 15017}
2024-07-23 19:31:55 {'yaw': 3599, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': -2, 'z_acceleration': -5}
2024-07-23 19:31:56 {'x_pos': 0, 'y_pos': 2496, 't_pos': 5733, 'x_vel': 8, 'y_vel': 242, 't_vel': 15017}
2024-07-23 19:31:56 {'yaw': 3576, 'pitch': 13, 'roll': 31, 'x_acceleration': 5, 'y_acceleration': -2, 'z_acceleration': 3}
2024-07-23 19:31:56 {'x_pos': 0, 'y_pos': 2496, 't_pos': 5733, 'x_vel': 8, 'y_vel': 242, 't_vel': 15017}
2024-07-23 19:31:56 {'yaw': 3570, 'pitch': 15, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': -2, 'z_acceleration': -6}
2024-07-23 19:31:56 {'x_pos': 0, 'y_pos': 2496, 't_pos': 5733, 'x_vel': 8, 'y_vel': 242, 't_vel': 15017}
2024-07-23 19:31:56 {'yaw': 3573, 'pitch': 15, 'roll': 30, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -13}
2024-07-23 19:31:56 {'x_pos': 0, 'y_pos': 2496, 't_pos': 5733, 'x_vel': 8, 'y_vel': 242, 't_vel': 15017}
2024-07-23 19:31:56 {'yaw': 3578, 'pitch': 14, 'roll': 30, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -10}
2024-07-23 19:31:57 {'x_pos': 0, 'y_pos': 2496, 't_pos': 5733, 'x_vel': 8, 'y_vel': 242, 't_vel': 15017}
2024-07-23 19:31:57 {'yaw': 3587, 'pitch': 14, 'roll': 29, 'x_acceleration': -3, 'y_acceleration': 0, 'z_acceleration': -3}
2024-07-23 19:31:57 {'x_pos': 0, 'y_pos': 2496, 't_pos': 5733, 'x_vel': 8, 'y_vel': 242, 't_vel': 15017}
2024-07-23 19:31:57 {'yaw': 3590, 'pitch': 15, 'roll': 30, 'x_acceleration': -3, 'y_acceleration': -3, 'z_acceleration': -11}
2024-07-23 19:31:57 {'x_pos': -1, 'y_pos': 3006, 't_pos': 14337, 'x_vel': 7, 'y_vel': 216, 't_vel': 23612}
2024-07-23 19:31:57 {'yaw': 3592, 'pitch': 15, 'roll': 29, 'x_acceleration': 0, 'y_acceleration': 4, 'z_acceleration': -2}
2024-07-23 19:31:58 {'x_pos': 0, 'y_pos': 3009, 't_pos': 12222, 'x_vel': 2, 'y_vel': 183, 't_vel': 21491}
2024-07-23 19:31:58 {'yaw': 3596, 'pitch': 22, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-23 19:31:58 {'x_pos': 0, 'y_pos': 3009, 't_pos': 12222, 'x_vel': 2, 'y_vel': 183, 't_vel': 21491}
2024-07-23 19:31:58 {'yaw': 3596, 'pitch': 21, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-23 19:31:58 {'x_pos': 0, 'y_pos': 3009, 't_pos': 12222, 'x_vel': 2, 'y_vel': 183, 't_vel': 21491}
2024-07-23 19:31:58 {'yaw': 3596, 'pitch': 20, 'roll': 29, 'x_acceleration': 0, 'y_acceleration': -2, 'z_acceleration': -4}
