2024-07-16 17:44:05 {'yaw': 3586, 'pitch': 16, 'roll': 30, 'x_acceleration': 3, 'y_acceleration': 3, 'z_acceleration': 6}
2024-07-16 17:44:06 {'x_pos': -1, 'y_pos': 1328, 't_pos': -24555, 'x_vel': -4, 'y_vel': 267, 't_vel': -15460}
2024-07-16 17:44:06 {'yaw': 3587, 'pitch': 15, 'roll': 30, 'x_acceleration': 3, 'y_acceleration': -1, 'z_acceleration': -3}
2024-07-16 17:44:06 {'x_pos': -1, 'y_pos': 1356, 't_pos': 30721, 'x_vel': 0, 'y_vel': 273, 't_vel': -25719}
2024-07-16 17:44:06 {'yaw': 3589, 'pitch': 15, 'roll': 30, 'x_acceleration': -4, 'y_acceleration': 5, 'z_acceleration': 6}
2024-07-16 17:44:06 {'x_pos': 0, 'y_pos': 1384, 't_pos': 20327, 'x_vel': 0, 'y_vel': 273, 't_vel': 29422}
2024-07-16 17:44:06 {'yaw': 3591, 'pitch': 15, 'roll': 29, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': 2}
2024-07-16 17:44:06 {'x_pos': 1, 'y_pos': 1413, 't_pos': 9933, 'x_vel': 0, 'y_vel': 273, 't_vel': 19027}
2024-07-16 17:44:06 {'yaw': 3592, 'pitch': 15, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 5, 'z_acceleration': -13}
2024-07-16 17:44:06 {'x_pos': 3, 'y_pos': 1441, 't_pos': -372, 'x_vel': 0, 'y_vel': 273, 't_vel': 8722}
2024-07-16 17:44:06 {'yaw': 3593, 'pitch': 15, 'roll': 29, 'x_acceleration': 2, 'y_acceleration': 0, 'z_acceleration': -15}
2024-07-16 17:44:06 {'x_pos': 2, 'y_pos': 1469, 't_pos': -10496, 'x_vel': 0, 'y_vel': 273, 't_vel': -1403}
2024-07-16 17:44:06 {'yaw': 3592, 'pitch': 14, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': -2, 'z_acceleration': -5}
2024-07-16 17:44:06 {'x_pos': 1, 'y_pos': 1495, 't_pos': -19856, 'x_vel': 6, 'y_vel': 279, 't_vel': -10762}
2024-07-16 17:44:06 {'yaw': 3591, 'pitch': 15, 'roll': 29, 'x_acceleration': -3, 'y_acceleration': 6, 'z_acceleration': 0}
2024-07-16 17:44:06 {'x_pos': 1, 'y_pos': 1516, 't_pos': -27685, 'x_vel': 6, 'y_vel': 279, 't_vel': -18592}
2024-07-16 17:44:06 {'yaw': 3588, 'pitch': 15, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -9}
2024-07-16 17:44:06 {'x_pos': 1, 'y_pos': 1538, 't_pos': 29571, 'x_vel': 6, 'y_vel': 279, 't_vel': -26872}
2024-07-16 17:44:06 {'yaw': 3590, 'pitch': 15, 'roll': 29, 'x_acceleration': 5, 'y_acceleration': -3, 'z_acceleration': -12}
