2024-07-23 17:21:12 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:12 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:12 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:12 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:12 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:12 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:13 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:13 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:13 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:13 {'yaw': 3599, 'pitch': 13, 'roll': 30, 'x_acceleration': 1, 'y_acceleration': -2, 'z_acceleration': -7}
2024-07-23 17:21:13 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:13 {'yaw': 3582, 'pitch': 12, 'roll': 31, 'x_acceleration': -1, 'y_acceleration': -2, 'z_acceleration': -7}
2024-07-23 17:21:14 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:14 {'yaw': 3583, 'pitch': 12, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -5}
2024-07-23 17:21:14 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:14 {'yaw': 3588, 'pitch': 12, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': -3, 'z_acceleration': -8}
2024-07-23 17:21:14 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:14 {'yaw': 3594, 'pitch': 12, 'roll': 31, 'x_acceleration': 2, 'y_acceleration': -4, 'z_acceleration': -2}
2024-07-23 17:21:14 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:14 {'yaw': 3595, 'pitch': 13, 'roll': 31, 'x_acceleration': -1, 'y_acceleration': 1, 'z_acceleration': 2}
2024-07-23 17:21:15 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:15 {'yaw': 3597, 'pitch': 12, 'roll': 31, 'x_acceleration': 3, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-23 17:21:15 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:15 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': -4, 'y_acceleration': 12, 'z_acceleration': -4}
2024-07-23 17:21:15 {'x_pos': 1, 'y_pos': 0, 't_pos': 1980, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:15 {'yaw': 3599, 'pitch': 13, 'roll': 31, 'x_acceleration': -2, 'y_acceleration': 6, 'z_acceleration': -10}
2024-07-23 17:21:16 {'x_pos': 0, 'y_pos': 496, 't_pos': 19215, 'x_vel': -3, 'y_vel': 235, 't_vel': 21645}
2024-07-23 17:21:16 {'yaw': 3583, 'pitch': 15, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': 1, 'z_acceleration': -1}
2024-07-23 17:21:16 {'x_pos': 0, 'y_pos': 496, 't_pos': 19215, 'x_vel': -3, 'y_vel': 235, 't_vel': 21645}
2024-07-23 17:21:16 {'yaw': 3583, 'pitch': 15, 'roll': 30, 'x_acceleration': -4, 'y_acceleration': 2, 'z_acceleration': 5}
2024-07-23 17:21:16 {'x_pos': 0, 'y_pos': 496, 't_pos': 19215, 'x_vel': -3, 'y_vel': 235, 't_vel': 21645}
2024-07-23 17:21:16 {'yaw': 3586, 'pitch': 15, 'roll': 31, 'x_acceleration': -2, 'y_acceleration': -3, 'z_acceleration': -4}
2024-07-23 17:21:17 {'x_pos': 0, 'y_pos': 496, 't_pos': 19215, 'x_vel': -3, 'y_vel': 235, 't_vel': 21645}
2024-07-23 17:21:17 {'yaw': 3590, 'pitch': 13, 'roll': 30, 'x_acceleration': -1, 'y_acceleration': 4, 'z_acceleration': 3}
2024-07-23 17:21:17 {'x_pos': 0, 'y_pos': 496, 't_pos': 19215, 'x_vel': -3, 'y_vel': 235, 't_vel': 21645}
2024-07-23 17:21:17 {'yaw': 3592, 'pitch': 13, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': -1, 'z_acceleration': -8}
2024-07-23 17:21:17 {'x_pos': 0, 'y_pos': 496, 't_pos': 19215, 'x_vel': -3, 'y_vel': 235, 't_vel': 21645}
2024-07-23 17:21:17 {'yaw': 3593, 'pitch': 13, 'roll': 30, 'x_acceleration': -2, 'y_acceleration': 2, 'z_acceleration': -11}
